,연도,한국_개봉편수,한국_상영편수,한국_매출액,한국_관객수,한국_점유율,외국_개봉편수,외국_상영편수,외국_매출액,외국_관객수,외국_점유율,전체_개봉편수,전체_상영편수,전체_매출액,전체_관객수
1,2004,74,95,"239,142,696,406","37,741,344",54.5%,206,205,"201,490,940,300","31,496,364",45.5%,280,300,"440,633,636,706","69,237,708"
2,2005,82,116,"451,514,376,294","71,316,778",57.8%,224,298,"328,510,859,673","51,983,923",42.2%,306,414,"780,025,235,967","123,300,701"
3,2006,110,159,"567,789,548,700","91,694,260",63.6%,241,323,"324,250,250,300","52,493,244",36.4%,351,482,"892,039,799,000","144,187,504"
4,2007,111,183,"479,733,501,900","75,768,678",49.9%,282,428,"485,511,362,138","76,212,005",50.1%,393,611,"965,244,864,038","151,980,683"
5,2008,110,252,"407,325,412,301","62,047,028",42.1%,270,553,"554,121,877,950","85,380,593",57.9%,380,805,"961,447,290,251","147,427,621"
6,2009,119,210,"526,482,690,000","75,644,938",48.7%,243,503,"556,706,710,450","79,752,686",51.3%,362,713,"1,083,189,400,450","155,397,624"
7,2010,142,275,"508,431,622,550","68,844,023",46.6%,288,521,"648,827,765,500","78,915,821",53.4%,430,796,"1,157,259,388,050","147,759,844"
8,2011,152,334,"613,734,577,100","82,870,108",51.9%,290,612,"622,086,015,100","76,857,701",48.1%,442,946,"1,235,820,592,200","159,727,809"
9,2012,176,388,"838,231,476,234","114,908,326",59.0%,465,846,"616,909,416,201","79,982,317",41.0%,641,"1,234","1,455,140,892,435","194,890,643"
10,2013,183,490,"909,926,954,105","127,290,242",59.7%,724,"1,186","641,420,351,616","86,060,165",40.3%,907,"1,676","1,551,347,305,721","213,350,407"
11,2014,217,515,"820,643,813,302","107,706,116",50.1%,878,"1,439","843,588,519,858","107,362,806",49.9%,"1,095","1,954","1,664,232,333,160","215,068,922"
12,2015,257,584,"879,659,194,660","112,942,103",52.0%,946,"1,560","835,842,190,018","104,357,396",48.0%,"1,203","2,144","1,715,501,384,678","217,299,499"
13,2016,337,701,"927,863,138,723","116,555,090",53.7%,"1,237","1,916","815,330,916,647","100,471,040",46.3%,"1,574","2,617","1,743,194,055,370","217,026,130"
14,2017,495,888,"902,667,642,338","113,907,210",51.8%,"1,272","2,065","853,910,208,775","105,969,017",48.2%,"1,767","2,953","1,756,577,851,113","219,876,227"
15,2018,661,"1,095","912,747,394,308","110,149,781",50.9%,"1,210","2,094","901,216,432,930","106,235,490",49.1%,"1,871","3,189","1,813,963,827,238","216,385,271"
16,2019,697,"1,126","970,792,132,551","115,621,796",51.0%,"1,246","1,973","943,192,588,307","111,056,432",49.0%,"1,943","3,099","1,913,984,720,858","226,678,228"
17,2020,782,"1,142","350,411,476,790","40,462,304",68.0%,"1,115","1,876","159,962,445,401","19,061,562",32.0%,"1,897","3,018","510,373,922,191","59,523,866"
18,2021,817,"1,221","173,423,356,992","18,220,146",30.1%,"1,039","1,783","411,115,788,208","42,310,930",69.9%,"1,856","3,004","584,539,145,200","60,531,076"
19,2022,772,"1,231","630,979,987,869","62,792,561",55.7%,"1,002","1,671","529,233,506,531","50,012,534",44.3%,"1,774","2,902","1,160,213,494,400","112,805,095"
20,2023,663,"1,112","598,429,310,512","60,751,267",48.5%,876,"1,514","662,982,706,580","64,384,998",51.5%,"1,539","2,626","1,261,412,017,092","125,136,265"
21,2024,617,"1,002","690,955,640,760","71,472,817",58.0%,805,"1,416","503,579,883,203","51,652,552",42.0%,"1,422","2,418","1,194,535,523,963","123,125,369"
22,2025,60,144,"85,447,606,490","8,860,839",71.7%,83,257,"33,650,670,520","3,503,884",28.3%,143,401,"119,098,277,010","12,364,723"
